Time (msec),A/F Sensor #1 (AFR),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (4-byte)* (psi absolute),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Plate Opening Angle (4-byte)* (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
0,14.59,-11.79,8,0.25,1478,0.00,0.00,0.7935,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.36,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
162,14.59,-11.79,8,0.25,1486,0.00,0.00,0.7955,2.05,1.0000,16.91,17.50,0,0,0,0,0,0,0.00,14.47,6.32,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
326,14.59,-11.79,8,0.25,1487,0.00,0.00,0.7925,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,6.32,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
489,14.59,-11.79,8,0.25,1488,0.00,0.00,0.7965,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,6.32,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
652,14.59,-11.79,8,0.25,1484,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,6.32,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
814,14.59,-11.79,8,0.25,1424,0.00,0.00,0.7945,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.28,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
977,14.59,-11.79,8,0.25,1414,0.00,0.00,0.7955,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.25,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1140,14.47,-11.79,8,0.25,1419,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,6.25,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1303,14.59,-11.79,8,0.25,1414,0.00,0.00,0.7965,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1466,14.47,-11.79,8,0.25,1412,0.00,0.00,0.7965,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1629,14.59,-11.79,8,0.25,1417,0.00,0.00,0.7935,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.49,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1792,14.59,-11.80,8,0.25,1486,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.49,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
1955,14.47,-11.80,8,0.25,1486,0.00,0.00,0.7965,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.10,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2136,14.59,-11.79,8,0.25,1482,0.00,0.00,0.7925,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2280,14.47,-11.79,8,0.25,1410,0.00,0.00,0.7935,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2443,14.59,-11.79,8,0.25,1410,0.00,0.00,0.7965,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2605,14.59,-11.79,8,0.25,1468,0.00,0.00,0.7935,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2769,14.59,-11.79,8,0.25,1465,0.00,0.00,0.7955,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.50,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
2932,14.59,-11.80,8,0.25,1466,0.00,0.00,0.7965,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.031
3095,14.70,-11.79,8,0.25,1460,0.00,0.00,0.7925,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.031
3257,14.59,-11.79,8,0.25,1454,0.00,0.00,0.7965,2.05,1.0000,16.91,20.00,0,0,0,0,0,0,0.00,14.47,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.122
3420,14.59,-11.79,8,0.25,1455,0.00,0.00,0.7975,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
3582,14.59,-11.79,8,0.25,1457,0.00,0.00,0.7975,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.49,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
3745,14.59,-11.79,8,0.25,1454,0.00,0.00,0.7975,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
3908,14.59,-11.79,8,0.25,1453,0.00,0.00,0.7965,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4072,14.59,-11.79,8,0.25,1457,0.00,0.00,0.7988,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4235,14.59,-11.79,8,0.25,1455,0.00,0.00,0.7955,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4397,14.59,-11.79,8,0.25,1455,0.00,0.00,0.7955,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4560,14.59,-11.79,8,0.25,1456,0.00,0.00,0.7955,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4723,14.59,-11.79,8,0.25,1448,0.00,0.00,0.7955,2.05,1.0000,16.91,20.00,0,0,0,0,0,0,0.00,14.47,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
4886,14.59,-11.81,8,0.25,1448,0.00,0.00,0.7965,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5049,14.59,-11.80,8,0.25,1455,0.00,0.00,0.7925,2.05,1.0000,16.91,20.00,0,0,0,0,0,0,0.00,14.49,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5212,14.59,-11.79,8,0.25,1446,0.00,0.00,0.7988,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5375,14.59,-11.79,8,0.25,1454,0.00,0.00,0.7988,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5536,14.59,-11.79,8,0.25,1466,0.00,0.00,0.7935,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.49,6.10,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5699,14.59,-11.79,8,0.25,1462,0.00,0.00,0.7945,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.49,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
5863,14.47,-11.79,8,0.25,1460,0.00,0.00,0.7955,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6025,14.59,-11.79,8,0.25,1458,0.00,0.00,0.7975,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
