Time (msec),A/F Sensor #1 (AFR),Accelerator Pedal Angle (%),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Opening Angle (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
0,14.70,0.00,-11.81,7,0.32,1167,0.00,0.00,0.8010,2.30,1.0000,16.61,4.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
154,14.59,0.00,-11.80,7,0.32,1158,0.00,0.00,0.8050,2.30,1.0000,16.60,4.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
309,14.59,0.00,-11.81,7,0.32,1167,0.00,0.00,0.8060,2.56,1.0000,16.59,4.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
463,14.59,0.00,-11.79,7,0.32,1170,0.00,0.00,0.8000,2.56,1.0000,16.59,3.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
616,14.59,0.00,-11.80,7,0.32,1170,0.00,0.00,0.8080,2.56,1.0000,16.58,3.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.17,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
770,14.59,0.00,-11.81,7,0.32,1160,0.00,0.00,0.8037,2.56,1.0000,16.58,3.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
924,14.59,0.00,-11.80,7,0.32,1166,0.00,0.00,0.8060,2.56,1.0000,16.57,3.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
1078,14.59,0.00,-11.81,7,0.33,1170,0.00,0.00,0.8037,2.56,1.0000,16.56,2.50,10,1,0,0,0,0,0.00,14.51,-7.25,6.21,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
1232,14.59,0.00,-11.81,7,0.32,1177,0.00,0.00,0.8050,2.56,1.0000,16.56,2.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.28,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.27,0,0.000
1386,14.59,0.00,-11.80,7,0.33,1158,0.00,0.00,0.8027,2.56,1.0000,16.55,2.00,10,1,0,0,0,0,0.00,14.51,-7.25,6.32,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,6.67,0,0.000
