Time (msec),A/F Sensor #1 (AFR),Accelerator Pedal Angle (%),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Opening Angle (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%),Manifold Absolute Pressure (2-byte)** (bar absolute),Manifold Absolute Pressure (4-byte)* (psi absolute),Manifold Relative Pressure (4-byte)* (psi relative),Manifold Relative Sea Level Pressure (2-byte)** (bar relative sea level),Map Ratio (Primary)* (multiplier)
0,16.88,0.00,-11.83,8,0.18,742,0.00,0.00,0.8180,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
180,16.88,0.00,-11.83,8,0.18,748,0.00,0.00,0.8235,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.000,14.52,-0.95,-0.013,0.000
359,16.88,0.00,-11.83,8,0.18,751,0.00,0.00,0.8155,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
537,16.88,0.00,-11.83,8,0.18,734,0.00,0.00,0.8180,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
716,16.88,0.00,-11.83,8,0.18,747,0.00,0.00,0.8155,1.79,1.0000,11.99,13.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
896,16.88,0.00,-11.83,8,0.18,745,0.00,0.00,0.8105,1.79,1.0000,11.99,13.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
1075,16.88,0.00,-11.83,8,0.18,744,0.00,0.00,0.8105,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
1254,16.88,0.00,-11.83,8,0.18,756,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.000,14.52,-0.95,-0.013,0.000
1433,16.88,0.00,-11.83,8,0.18,757,0.00,0.00,0.8080,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,-0.122,1.001,14.52,-0.95,-0.012,0.000
1612,16.88,0.00,-11.83,8,0.18,748,0.00,0.00,0.8155,1.79,1.0000,11.99,13.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
1791,16.77,0.00,-11.83,8,0.18,757,0.00,0.00,0.8080,1.79,1.0000,11.99,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
1969,16.77,0.00,-11.83,8,0.18,767,0.00,0.00,0.8130,1.79,1.0000,11.99,10.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2149,16.88,0.00,-11.83,8,0.18,762,0.00,0.00,0.8105,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2328,16.88,0.00,-11.83,8,0.18,748,0.00,0.00,0.8180,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2507,16.88,0.00,-11.83,8,0.18,743,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2685,17.00,0.00,-11.83,8,0.18,754,0.00,0.00,0.8180,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
2865,16.88,0.00,-11.83,8,0.18,761,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3044,16.88,0.00,-11.83,8,0.18,739,0.00,0.00,0.8155,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3221,16.88,0.00,-11.83,8,0.18,746,0.00,0.00,0.8180,1.79,1.0000,11.99,13.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3401,16.77,0.00,-11.83,8,0.18,756,0.00,0.00,0.8080,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3580,16.77,0.00,-11.83,8,0.18,754,0.00,0.00,0.8155,1.79,1.0000,11.99,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3759,16.88,0.00,-11.83,8,0.18,750,0.00,0.00,0.8205,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
3938,16.88,0.00,-11.83,8,0.18,745,0.00,0.00,0.8125,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4117,16.88,0.00,-11.83,8,0.18,758,0.00,0.00,0.8155,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4295,16.88,0.00,-11.83,8,0.18,764,0.00,0.00,0.8080,1.79,1.0000,11.99,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4475,16.88,0.00,-11.83,8,0.18,740,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4654,16.77,0.00,-11.83,8,0.18,746,0.00,0.00,0.8130,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
4833,16.88,0.00,-11.83,8,0.18,755,0.00,0.00,0.8080,1.79,1.0000,11.99,11.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5012,16.88,0.00,-11.83,8,0.18,756,0.00,0.00,0.8140,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5191,16.77,0.00,-11.83,8,0.18,752,0.00,0.00,0.8060,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5370,16.88,0.00,-11.82,8,0.18,748,0.00,0.00,0.8090,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.51,-0.96,-0.012,0.000
5548,16.88,0.00,-11.83,8,0.18,752,0.00,0.00,0.8180,1.79,1.0000,11.99,11.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5727,16.88,0.00,-11.83,8,0.18,751,0.00,0.00,0.8105,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
5906,16.77,0.00,-11.83,8,0.18,753,0.00,0.00,0.8180,1.79,1.0000,11.99,12.00,0,0,0,2,2,3,0.00,14.51,-7.25,2.22,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
6084,16.77,0.00,-11.83,8,0.18,746,0.00,0.00,0.8105,1.79,1.0000,11.99,12.50,0,0,0,2,2,3,0.00,14.51,-7.25,2.24,1.04,0.00,0.00,0.000,0.00,-12.78,1.96,9,0.000,1.001,14.52,-0.95,-0.012,0.000
